phrase;modul;link
wo;0;
wie;0;
was;0;
woher;0;
welche;0;
wer;0;
wissen;0;
wann;0;
an welchem;0;
welchen;0;
ab wann;0;
bis wann;0;
heute;0;
morgen;0;
diese Woche;0;
gibt es;0;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
moodle;1;
Lernplattform;1;
moodleplattform;1;
;;
;;
;;
;;
;;
;;
;;
dualis;2;
Notenplattform;2;
Notenabfrage;2;
Note;2;
Noten;2;
Prüfungsergebnisse;2;
Prüfungen;2;
;;
;;
;;
Hilfe;3;
Chatbot;3;
Informationen;3;
GILBERT;3;
;;
;;
;;
;;
;;
;;
Mensaplan;4;
Kantine;4;
Essen;4;
Menü;4;
Speiseplan;4;
Mensa;4;
Mittagessen;4;
Hunger;4;
;;
;;
Vorlesungsplan;5;
Stundenplan;5;
Vorlesungen;5;
Unterricht;5;
Vorlesung;5;
Kurse;5;
Kurs;5;
Kursplan;5;
;;
;;
Prüfungsordnung;6;
;;
;;
;;
;;
;;
;;
;;
;;
;;
Terminpläne;7;
Terminplan;7;
Termine;7;
Fristen;7;
Deadlines;7;
Abgabefristen;7;
abgeben;7;
;;
;;
;;
Modulhandbuch;8;
Modulbeschreibungen;8;
Module;8;
;;
;;
;;
;;
;;
;;
;;
Praxisarbeit;9;
Praxisarbeiten;9;
Dokumente;9;
Informationen;9;
Information;9;
Leitlinien;9;
Bewertung;9;
Bewertungsschema;9;
Unterschriften;9;
;;
Allgemeines FAQ;10;
FAQ;10;
andere Fragen;10;
etwas anderes;10;
