kurs;id
WIMBIT17A;7190001
WIMBIT17B;7191001
WIB17A;7201001
WIB17B;7202001
WIB17BI;7203001
WSTL17A;7207001
WSTL17B;7208001
WSTL17C;7209001
WSTL17D;7210001
WIB18A;7401001
WIB18B;7402001
WIB18BI;7403001
WSTL18A;7416001
WSTL18B;7417001
WSTL18C;7418001
WSTL18D;7419001
WIMBIT18A;7456001
WIMBIT18B;7457001
WIMBIT19A;7738001
WIMBIT19B;7739001
WIB19A;7794001
WIB19B;7795001
WSTL19A;7801001
WSTL19B;7802001
WSTL19C;7803001
WSTL19D;7804001
WIB19BI;7841001
WIMBIT20A;8032001
WIMBIT20B;8033001
WIB20A;8101001
WIB20Bi;8102001
WSTL20A;8110001
WSTL20B;8111001
WSTL20C;8112001
WSTL20D;8113001
WGW17A;7181001
WIW17A;7193001
WIW17B;7194001
WOW17A;7206001
WWF17A;7215001
WRSW17AC1;7227001
WRSW17AC2;7228001
WRSW17ST1;7229001
WRSW17ST2;7230001
WGW18A;7395001
WIW18A;7410001
WIW18B;7411001
WOW18A;7414001
WOW18B;7415001
WRSW18AC1;7452001
WRSW18AC2;7453001
WRSW18ST1;7454001
WRSW18ST2;7455001
WGW19A;7782001
WIW19A;7787001
WIW19B;7788001
WOW19A;7799001
WOW19B;7800001
WRSW19AC1;7821001
WRSW19AC2;7822001
WRSW19ST1;7823001
WRSW19ST2;7824001
WOW17AVersorgungswirtschaft;7827001
WGW20A;8090001
WIW20A;8094001
WIW20B;8095001
WOW20A;8108001
WOW20B;8109001
WRSW20AC1;8129001
WRSW20AC2;8130001
WRSW20ST1;8131001
WRSW20ST2;8132001
TINF16AIBC;6956001
TINF16AIBI;6957001
TINF16ITIN;6958001
TINF16ITNS;6959001
TINF17AIBC;7148001
TINF17AIBI;7149001
TINF17ITIN;7150001
TINF17ITNS;7151001
TINF18AI1;7430001
TINF18AI2;7431001
TINF18IT1;7432001
TINF18IT2;7433001
TINF19AI1;7757001
TINF19AI2;7758001
TINF19CS1;7759001
TINF19IT1;7760001
TINF19IT2;7761001
TINF20AI1;8062001
TINF20AI2;8063001
TINF20CS1;8064001
TINF20IT1;8065001
TINF20IT2;8066001
TWIW16TVPur;6927001
TWIW16PL;6928001
TWIW16CVTV;6929001
TWIW16EL;6930001
TWIW17TVPur;7183001
TWIW17PL;7184001
TWIW17TV/CV;7185001
TWIW17EL;7186001
TWIW18PLPur;7468001
TWIW18TV;7469001
TWIW18CV/PL;7470001
TWIW18EL;7471001
TWIW19A;7774001
TWIW19B;7775001
TWIW19C;7776001
TWIW19D;7777001
TWIW20A;8079001
TWIW20B;8080001
TWIW20C;8081001
TWIW20D;8082001
WVS17A;7211001
WVS17B;7212001
WVS17C;7213001
WVS17D;7214001
WVS18A;7420001
WVS18B;7421001
WVS18C;7422001
WVS18D;7423001
WVS19A;7805001
WVS19B;7806001
